mad,152,10500,3,mad,mad,rr 1: 
bow,152,18637,3,bôw0,boe1,rr 2: 
bow,152,18637,3,bôw0,boe2,rr 3: 
nay,152,55639,3,nãý,nae,rr 4: 
bowe,152,58772,3,bôw0è,boe3,rr 5: 
bo,152,66370,3,bô,boe4,rr 6: 
beau,152,91497,3,bèàu=,boe5,rr 7: 
boy,153,2516,3,bσy0,boi,rr 1: 
bog,153,49213,3,bog,bog,rr 2: 
mag,153,92351,3,mag,mag,rr 3: 
nag,153,94563,3,nag,nag,rr 4: 
ang,153,217437,3,añg0,ang,rr 5: 
mac,154,24797,3,mac,mak1,rr 1: 
knack,154,66199,3,k0nack0,nak,rr 2: 
mal,154,78281,3,mal,mal1,rr 3: 
mack,154,94528,3,mack0,mak2,rr 4: 
maj,154,163457,3,maj,maj,rr 5: 
bock,154,191796,3,bock0,bok,rr 6: 
mak,154,252077,3,mak,mak3,rr 7: 
bomb,155,28000,3,bomb0,bom1,rr 1: 
mann,155,38622,3,mann,man2,rr 2: 
nan,155,38668,3,nan,nan,rr 3: 
bonn,155,40092,3,bonn,bon1,rr 4: 
nam,155,60826,3,nam,nam,rr 5: 
boo,155,63647,3,böò,boo,rr 6: 
bon,155,69006,3,bon,bon2,rr 7: 
na,156,2114,3,nā,nar1,rr 1: 
map,156,8263,3,map,map,rr 2: 
ma,156,15760,3,mā,mar1,rr 3: 
amp,156,32039,3,amp,amp,rr 4: 
mar,156,44278,3,mār#,mar2,rr 5: 
marr,156,51947,3,mārr0,mar3,rr 6: 
nah,156,64984,3,nāħ,nar2,rr 7: 
matt,157,23457,3,matt,mat1,rr 1: 
mat,157,35899,3,mat,mat2,rr 2: 
ant,157,42626,3,ant,ant,rr 3: 
nat,157,71246,3,nat,nat1,rr 4: 
matte,157,157699,3,mattè,mat3,rr 5: 
bott,157,192097,3,bott,bot,rr 6: 
nav,157,192479,3,nav,nav,rr 7: 
nor,158,2709,3,nør#,naw1,rr 1: 
mass,158,4802,3,mass,mas,rr 2: 
boss,158,10101,3,boss,bos1,rr 3: 
moore,158,15288,3,møòr0è,maw2,rr 4: 
bow,158,18637,3,bõw0,bow1,rr 5: 
mor,158,91259,3,mør#,maw3,rr 6: 
bough,158,101122,3,bõùg0ħ,bow2,rr 7: 
rab,161,45031,3,rab,rab,rr 1: 
ara,161,143269,3,ará,ara,rr 2: 
ray,162,14122,3,rãý,rae1,rr 1: 
raf,162,15438,3,raf,raf1,rr 2: 
pad,162,28836,3,pad,pad,rr 3: 
byrd,162,73216,3,by0rd,brd,rr 4: 
